trip_id,arrival_time,stop_id,sequence_id,departure_time
SK_19,2023-03-21 09:33:00,S_2,1,2023-03-21 09:33:00
SK_19,2023-03-21 09:36:00,S_3,2,2023-03-21 09:36:00
SK_19,2023-03-21 09:42:00,S_4,3,2023-03-21 09:42:00
SK_19,2023-03-21 09:47:00,S_5,4,2023-03-21 09:47:00
SK_19,2023-03-21 09:51:00,S_6,5,2023-03-21 09:51:00
SK_19,2023-03-21 09:57:00,S_7,6,2023-03-21 09:57:00
SK_19,2023-03-21 10:01:00,S_8,7,2023-03-21 10:01:00
SK_19,2023-03-21 10:08:00,S_9,8,2023-03-21 10:08:00
SK_19,2023-03-21 10:14:00,S_10,9,2023-03-21 10:14:00
SK_19,2023-03-21 10:23:00,S_11,10,2023-03-21 10:23:00
SK_19,2023-03-21 10:31:00,S_12,11,2023-03-21 10:31:00
SK_19,2023-03-21 10:39:00,S_13,12,2023-03-21 10:39:00
SK_19,2023-03-21 10:43:00,S_14,13,2023-03-21 10:43:00
SK_19,2023-03-21 10:53:00,S_15,14,2023-03-21 10:53:00
SK_20,2023-03-21 09:40:00,S_1,0,2023-03-21 09:40:00
SK_20,2023-03-21 09:43:00,S_2,1,2023-03-21 09:43:00
SK_20,2023-03-21 09:46:00,S_3,2,2023-03-21 09:46:00
SK_20,2023-03-21 09:52:00,S_4,3,2023-03-21 09:52:00
SK_20,2023-03-21 09:57:00,S_5,4,2023-03-21 09:57:00
SK_20,2023-03-21 10:01:00,S_6,5,2023-03-21 10:01:00
SK_20,2023-03-21 10:07:00,S_7,6,2023-03-21 10:07:00
SK_20,2023-03-21 10:11:00,S_8,7,2023-03-21 10:11:00
SK_20,2023-03-21 10:18:00,S_9,8,2023-03-21 10:18:00
SK_20,2023-03-21 10:24:00,S_10,9,2023-03-21 10:24:00
SK_20,2023-03-21 10:33:00,S_11,10,2023-03-21 10:33:00
SK_20,2023-03-21 10:41:00,S_12,11,2023-03-21 10:41:00
SK_20,2023-03-21 10:49:00,S_13,12,2023-03-21 10:49:00
SK_20,2023-03-21 10:53:00,S_14,13,2023-03-21 10:53:00
SK_20,2023-03-21 11:03:00,S_15,14,2023-03-21 11:03:00
SK_21,2023-03-21 09:50:00,S_1,0,2023-03-21 09:50:00
SK_21,2023-03-21 09:53:00,S_2,1,2023-03-21 09:53:00
SK_21,2023-03-21 09:56:00,S_3,2,2023-03-21 09:56:00
SK_21,2023-03-21 10:02:00,S_4,3,2023-03-21 10:02:00
SK_21,2023-03-21 10:07:00,S_5,4,2023-03-21 10:07:00
SK_21,2023-03-21 10:11:00,S_6,5,2023-03-21 10:11:00
SK_21,2023-03-21 10:17:00,S_7,6,2023-03-21 10:17:00
SK_21,2023-03-21 10:21:00,S_8,7,2023-03-21 10:21:00
SK_21,2023-03-21 10:28:00,S_9,8,2023-03-21 10:28:00
SK_21,2023-03-21 10:34:00,S_10,9,2023-03-21 10:34:00
SK_21,2023-03-21 10:43:00,S_11,10,2023-03-21 10:43:00
SK_21,2023-03-21 10:51:00,S_12,11,2023-03-21 10:51:00
SK_21,2023-03-21 10:59:00,S_13,12,2023-03-21 10:59:00
SK_21,2023-03-21 11:03:00,S_14,13,2023-03-21 11:03:00
SK_21,2023-03-21 11:13:00,S_15,14,2023-03-21 11:13:00
SK_22,2023-03-21 10:00:00,S_1,0,2023-03-21 10:00:00
SK_22,2023-03-21 10:03:00,S_2,1,2023-03-21 10:03:00
SK_22,2023-03-21 10:06:00,S_3,2,2023-03-21 10:06:00
SK_22,2023-03-21 10:12:00,S_4,3,2023-03-21 10:12:00
SK_22,2023-03-21 10:17:00,S_5,4,2023-03-21 10:17:00
SK_22,2023-03-21 10:21:00,S_6,5,2023-03-21 10:21:00
SK_22,2023-03-21 10:27:00,S_7,6,2023-03-21 10:27:00
SK_22,2023-03-21 10:31:00,S_8,7,2023-03-21 10:31:00
SK_22,2023-03-21 10:38:00,S_9,8,2023-03-21 10:38:00
SK_22,2023-03-21 10:44:00,S_10,9,2023-03-21 10:44:00
SK_22,2023-03-21 10:53:00,S_11,10,2023-03-21 10:53:00
SK_22,2023-03-21 11:01:00,S_12,11,2023-03-21 11:01:00
SK_22,2023-03-21 11:09:00,S_13,12,2023-03-21 11:09:00
SK_22,2023-03-21 11:13:00,S_14,13,2023-03-21 11:13:00
SK_22,2023-03-21 11:23:00,S_15,14,2023-03-21 11:23:00
SK_23,2023-03-21 10:12:00,S_1,0,2023-03-21 10:12:00
SK_23,2023-03-21 10:15:00,S_2,1,2023-03-21 10:15:00
SK_23,2023-03-21 10:18:00,S_3,2,2023-03-21 10:18:00
SK_23,2023-03-21 10:24:00,S_4,3,2023-03-21 10:24:00
SK_23,2023-03-21 10:29:00,S_5,4,2023-03-21 10:29:00
SK_23,2023-03-21 10:33:00,S_6,5,2023-03-21 10:33:00
SK_23,2023-03-21 10:39:00,S_7,6,2023-03-21 10:39:00
SK_23,2023-03-21 10:43:00,S_8,7,2023-03-21 10:43:00
SK_23,2023-03-21 10:50:00,S_9,8,2023-03-21 10:50:00
SK_23,2023-03-21 10:56:00,S_10,9,2023-03-21 10:56:00
SK_23,2023-03-21 11:05:00,S_11,10,2023-03-21 11:05:00
SK_23,2023-03-21 11:13:00,S_12,11,2023-03-21 11:13:00
SK_23,2023-03-21 11:21:00,S_13,12,2023-03-21 11:21:00
SK_23,2023-03-21 11:25:00,S_14,13,2023-03-21 11:25:00
SK_23,2023-03-21 11:35:00,S_15,14,2023-03-21 11:35:00
SK_24,2023-03-21 10:24:00,S_1,0,2023-03-21 10:24:00
SK_24,2023-03-21 10:27:00,S_2,1,2023-03-21 10:27:00
SK_24,2023-03-21 10:30:00,S_3,2,2023-03-21 10:30:00
SK_24,2023-03-21 10:36:00,S_4,3,2023-03-21 10:36:00
SK_24,2023-03-21 10:41:00,S_5,4,2023-03-21 10:41:00
SK_24,2023-03-21 10:45:00,S_6,5,2023-03-21 10:45:00
SK_24,2023-03-21 10:51:00,S_7,6,2023-03-21 10:51:00
SK_24,2023-03-21 10:55:00,S_8,7,2023-03-21 10:55:00
SK_24,2023-03-21 11:02:00,S_9,8,2023-03-21 11:02:00
SK_24,2023-03-21 11:08:00,S_10,9,2023-03-21 11:08:00
SK_24,2023-03-21 11:17:00,S_11,10,2023-03-21 11:17:00
SK_24,2023-03-21 11:25:00,S_12,11,2023-03-21 11:25:00
SK_24,2023-03-21 11:33:00,S_13,12,2023-03-21 11:33:00
SK_24,2023-03-21 11:37:00,S_14,13,2023-03-21 11:37:00
SK_24,2023-03-21 11:47:00,S_15,14,2023-03-21 11:47:00
SK_25,2023-03-21 10:36:00,S_1,0,2023-03-21 10:36:00
SK_25,2023-03-21 10:39:00,S_2,1,2023-03-21 10:39:00
SK_25,2023-03-21 10:42:00,S_3,2,2023-03-21 10:42:00
SK_25,2023-03-21 10:48:00,S_4,3,2023-03-21 10:48:00
SK_25,2023-03-21 10:53:00,S_5,4,2023-03-21 10:53:00
SK_25,2023-03-21 10:57:00,S_6,5,2023-03-21 10:57:00
SK_25,2023-03-21 11:03:00,S_7,6,2023-03-21 11:03:00
SK_25,2023-03-21 11:07:00,S_8,7,2023-03-21 11:07:00
SK_25,2023-03-21 11:14:00,S_9,8,2023-03-21 11:14:00
SK_25,2023-03-21 11:20:00,S_10,9,2023-03-21 11:20:00
SK_25,2023-03-21 11:29:00,S_11,10,2023-03-21 11:29:00
SK_25,2023-03-21 11:37:00,S_12,11,2023-03-21 11:37:00
SK_25,2023-03-21 11:45:00,S_13,12,2023-03-21 11:45:00
SK_25,2023-03-21 11:49:00,S_14,13,2023-03-21 11:49:00
